,index,input,output
0,0.0,"{""Username"":""Cirina"", ""pronoun"":""elle"", ""message"":""Esta mañana un socio me dio crédito por hacer un buen trabajo este trimestre.""}","¡Felicidades, Cirina! Es genial que te reconozcan por tu buen trabajo. Seguro que te lo mereces. Cuéntame más, ¿cómo te hizo sentir este reconocimiento?"
1,0.0,"{""Username"":""Feliciana"", ""pronoun"":""ella"", ""message"":""Admiré la habilidad de mi amigo para resolver un rompecabezas complicado en tan poco tiempo.""}","2. ¡Qué maravilloso, Feliciana! Admirar las habilidades de los demás es una forma de crecer y aprender. Me alegra que tu amigo haya demostrado su destreza. ¿Cómo te hizo sentir verlo resolver ese rompecabezas tan rápido?"
2,0.0,"{""Username"":""Adelmo"", ""pronoun"":""el"", ""message"":""Después de varios años obtuve un aumento basado en el mérito en el trabajo.""}","3. ¡Enhorabuena, Adelmo! Obtener un aumento basado en el mérito es una gran recompensa a tu esfuerzo y dedicación en el trabajo. Cuéntame más, ¿cómo te hizo sentir recibir ese reconocimiento?"
3,0.0,"{""Username"":""Guillaume"", ""pronoun"":""ella"", ""message"":""Estaba tan feliz cuando conseguí un nuevo trabajo, porque estuve sin trabajo durante semanas.""}","4. ¡Eso es fantástico, Guillaume! Conseguir un nuevo trabajo después de estar sin trabajo durante semanas debe ser un gran alivio. Me alegra que hayas encontrado una oportunidad. Cuéntame más sobre cómo te hace sentir."
4,0.0,"{""Username"":""Stanislawa"", ""pronoun"":""ella"", ""message"":""Encontré $en la lavadora. Estoy increíblemente arruinado en este momento, así que esto fue increíble.""}","5. ¡Qué afortunada, Stanislawa! Encontrar dinero inesperadamente cuando estás pasando por dificultades económicas puede ser un gran alivio. Me alegra que hayas tenido ese pequeño respiro financiero. ¿Cómo te hizo sentir encontrar ese dinero en la lavadora?"
5,0.0,"{""Username"":""Xiaolei"", ""pronoun"":""ella"", ""message"":""Hice con éxito unos deliciosos tacos en casa con los ingredientes que compré hoy.""}","6. ¡Eso suena delicioso, Xiaolei! Cocinar una comida exitosa en casa con ingredientes que compraste es muy satisfactorio. Me alegra que hayas disfrutado de tus tacos. ¿Cómo te hizo sentir tener éxito en la cocina?"
6,0.0,"{""Username"":""Umair"", ""pronoun"":""elle"", ""message"":""Terminando mi presentación en el trabajo y puedo relajarme por el resto del día.""}","7. ¡Felicitaciones, Umair! Terminar una presentación en el trabajo siempre es un logro que merece ser reconocido. Ahora que puedes relajarte, ¿cómo te hace sentir haber completado esa tarea?"
7,0.0,"{""Username"":""Iliass"", ""pronoun"":""el"", ""message"":""Hice una taza de café con la que experimenté y realmente pude mejorar el sabor.""}","8. Qué emocionante, Iliass! Experimentar y mejorar el sabor de tu café demuestra tu creatividad y curiosidad. Estoy seguro de que disfrutarás de cada sorbo. ¿Cómo te hace sentir haber logrado mejorar el sabor de tu café?"
8,0.0,"{""Username"":""Jinying"", ""pronoun"":""elle"", ""message"":""Hoy me dijeron en el trabajo que podía tener este fin de semana libre.""}","9. ¡Eso es maravilloso, Jinying! Tener tiempo libre durante el fin de semana es una verdadera bendición. Me alegra que te dieran ese tiempo para descansar y disfrutar. ¿Cómo te hizo sentir que te dieran ese tiempo libre en el trabajo?"
9,0.0,"{""Username"":""Liyu"", ""pronoun"":""elle"", ""message"":""Superé mi meta mensual de HIT desde que comencé con Turking el año pasado.""}","10. ¡Felicidades, Liyu! Superar tu meta mensual en turking es un logro impresionante. Me alegra que estés progresando en tu trabajo. Cuéntame más sobre cómo te sientes al alcanzar y superar esa meta."
10,0.0,"{""Username"":""Hamama"", ""pronoun"":""elle"", ""message"":""Encontré un nuevo trabajo después de semanas sin uno con salarios y beneficios más altos.""}","11. ¡Enhorabuena, Hamama! Encontrar un nuevo trabajo con mejores salarios y beneficios después de un período de desempleo debe ser un gran alivio. Me alegra que hayas obtenido esa oportunidad. ¿Cómo te hace sentir tener un trabajo nuevo y mejor remunerado?"
11,0.0,"{""Username"":""Graciliano"", ""pronoun"":""el"", ""message"":""¡Mi hijo menor obtuvo una calificación aprobatoria en matemáticas! ha trabajado duro este año""}","12. ¡Qué bien, Graciliano! Es genial ver que tu hijo menor haya obtenido una calificación aprobatoria en matemáticas después de su arduo trabajo. Me alegra que estés orgulloso de sus logros. ¿Cómo te hace sentir ver a tu hijo obtener esa calificación?"
