,proportion,proportion,proportion,proportion,proportion
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": True, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.23333333333333334,0.016666666666666666,0.27666666666666667,0.16666666666666666,0.023333333333333334
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": True  }}",0.17333333333333334,0.11,0.016666666666666666,,0.023333333333333334
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.12666666666666668,0.056666666666666664,0.01,,0.01
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": True   }}",0.056666666666666664,,0.01,,
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": True, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.04666666666666667,,0.13,0.17333333333333334,0.01
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": True  }}",0.02666666666666667,0.056666666666666664,0.013333333333333334,,0.043333333333333335
"{ ""Coherence"": True, ""Contextual attention"": True, ""Formulation of clarifying questions"": False, ""Go deeper into the conversation"": False, ""Absence of judgment or criticism"": True, ""Demonstration of empathy"": { ""First Evaluation"": True, ""Second Evaluation"": True }}",0.023333333333333334,,0.02,0.03,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": False,    ""Second Evaluation"": False  }}",0.02,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": False  }}",0.02,0.0033333333333333335,0.0033333333333333335,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": False,  ""Go deeper into the conversation"": False,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {    ""First Evaluation"": True,    ""Second Evaluation"": True  }}",0.013333333333333334,0.0033333333333333335,,,0.006666666666666667
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": { ""First Evaluation"": False, ""Second Evaluation"": False }}",0.013333333333333334,,,,
"{   ""Coherence"": True,   ""Contextual attention"": True,   ""Formulation of clarifying questions"": True,   ""Go deeper into the conversation"": True,   ""Absence of judgment or criticism"": True,   ""Demonstration of empathy"": {     ""First Evaluation"": True,     ""Second Evaluation"": True   }}",0.01,,,,
"{  ""Coherence"": True,  ""Contextual attention"": True,  ""Formulation of clarifying questions"": True,  ""Go deeper into the conversation"": True,  ""Absence of judgment or criticism"": True,  ""Demonstration of empathy"": {     ""First Evaluation"": False,     ""Second Evaluation"": False   }}",0.01,,0.0033333333333333335,,
