,index,input,output
0,492.0,"{""Username"":""Nisha"", ""pronoun"":""ella"", ""message"":""El horror que sentí al ver los restos sanguinolentos y desfigurados de la escena de un accidente me causó asco.""}","1. Comprendo lo que estás sintiendo, Nisha. Ver ese tipo de escenas puede ser muy impactante y generar mucho asco. Recuerda que es importante cuidar de ti misma y tomar un tiempo para recuperarte de esa experiencia. ¿Quieres hablar más sobre cómo te hizo sentir?"
1,492.0,"{""Username"":""Reto"", ""pronoun"":""el"", ""message"":""Estaba tan sumergido en el asco ante la forma tan cruel en que trataban a los animales.""}","2. Entiendo, Reto. Es desgarrador ver cómo tratan a los animales de manera cruel. Afortunadamente, hay muchas organizaciones y personas que están trabajando para cambiar esa realidad. Recuerda que tu preocupación y tu voz importan. ¿Hay algo específico que hayas presenciado que te hizo sentir tan asqueado?"
2,492.0,"{""Username"":""Esmerinda"", ""pronoun"":""elle"", ""message"":""Mi única salvación fue salir de aquel lugar para no sentir el asco de pasar otro minuto allí.""}","3. Entiendo lo que estás pasando, Esmerinda. A veces, el alejarnos de ciertos lugares es lo más saludable para nosotros, especialmente si nos generan asco o malestar. Me alegra que hayas encontrado una salida. ¿Te gustaría hablar más sobre cómo te sentiste al salir de ese lugar?"
3,492.0,"{""Username"":""Obdulio"", ""pronoun"":""el"", ""message"":""Cerré los ojos para contener el asco que sentía y respiré profundamente para tratar de controlar el mareo.""}","4. Lo entiendo, Obdulio. Controlar el asco puede ser muy difícil, especialmente cuando estamos enfrentando situaciones que nos ponen incómodos. Respirar profundamente es una buena técnica para tratar de sobrellevarlo. ¿Cómo logras recuperarte después de sentir asco?"
4,492.0,"{""Username"":""Halil"", ""pronoun"":""elle"", ""message"":""Escuchar el sonido de alguien masticando con la boca abierta y viendo cómo se le caen los restos de comida me produce un enorme asco.""}","5. Comprendo lo que estás diciendo, Halil. El sonido y la vista de alguien masticando con la boca abierta pueden ser realmente desagradables. Es normal sentir asco ante ese tipo de comportamiento. ¿Te ha sucedido esto en más de una ocasión?"
5,492.0,"{""Username"":""Santino"", ""pronoun"":""el"", ""message"":""Mientras caminaba por la calle aquel día, me topé con un charco lleno de desechos orgánicos y sentí un intenso asco.""}","6. Lo entiendo, Santino. Encontrarnos con situaciones desagradables como un charco de desechos orgánicos puede generar un asco intenso. ¿Te gustaría compartir más detalles sobre cómo te sentiste al ver ese charco?"
6,492.0,"{""Username"":""Madlena"", ""pronoun"":""el"", ""message"":""Ver a alguien escupir en el suelo y luego pisarlo sin darse cuenta me genera un asco indescriptible.""}","7. Comprendo perfectamente, Madlena. Ver a alguien escupir en el suelo y pisarlo sin darse cuenta puede ser realmente asqueroso. Es comprensible que esto te haya generado un asco indescriptible. ¿Alguna vez has tenido que lidiar con una situación similar?"
7,492.0,"{""Username"":""Ebrima"", ""pronoun"":""el"", ""message"":""Solo una noche, cuando mi vuelo fue cancelado debido al mal tiempo. Es soportable si solo necesita un lugar para quedarse, pero definitivamente no desea reservar unas vacaciones allí. A menos que disfrute compartir su habitación con cucarachas.""}","8. Entiendo lo que quieres decir, Ebrima. Pasar una noche en un lugar con cucarachas puede ser realmente desagradable. Es importante elegir sabiamente nuestros destinos de vacaciones. ¿Te gustaría hablar más sobre tus experiencias de viaje y cómo manejas este tipo de situaciones?"
8,492.0,"{""Username"":""Ari"", ""pronoun"":""elle"", ""message"":""Me dio un asco enorme ver a esa persona meterse el dedo en la nariz de forma tan descarada.""}","9. Comprendo cómo te sientes, Ari. Ver a alguien meterse el dedo en la nariz de forma descarada puede generar mucha incomodidad. Recuerda que cada persona tiene su propia forma de comportarse, aunque no siempre sea agradable. ¿Quieres compartir alguna experiencia similar que hayas tenido?"
9,492.0,"{""Username"":""Elisaveta"", ""pronoun"":""ella"", ""message"":""Al caminar un poco más profundo en el bosque me encontré con un hedor nauseabundo, me sentí tan asqueado que tuve que salir de allí.""}","10. Entiendo lo que estás diciendo, Elisaveta. Encontrar un hedor nauseabundo puede ser realmente desagradable y generarnos un asco profundo. ¿Algún otro detalle sobre la experiencia que te gustaría compartir?"
